Manufacturer,Model Name,Model Code,RAM (TotalMem),Form Factor,System on Chip,Screen Sizes,Screen Densities,ABIs,Android SDK Versions,OpenGL ES Versions
10.or,E,E,2840-2846MB,Phone,Qualcomm MSM8937,1080x1920,480,arm64-v8a;armeabi-v7a;armeabi,25;27,3.2
10.or,G,G,2830-3603MB,Phone,Qualcomm MSM8953,1080x1920,480,arm64-v8a;armeabi-v7a;armeabi,25;27,3.2
10.or,D,10or_D,2868-2874MB,Phone,Qualcomm MSM8917,720x1280,320,arm64-v8a;armeabi-v7a;armeabi,25;27,3.0
3Q,OC1020A,OC1020A,,Tablet,TI OMAP4428,1280x800,160,armeabi-v7a;armeabi,15,2.0
4good,A103,4GOOD_Light_A103,907MB,Phone,Mediatek MT6737M,540x960,240,armeabi-v7a;armeabi,24,3.1
4good,4GOOD Light B100,4GOOD_Light_B100,907MB,Phone,Mediatek MT6737M,540x960,240,armeabi-v7a;armeabi,24,3.1
7Eleven,IN265,IN265,466MB,Phone,Mediatek MT6572,540x960,240,armeabi-v7a;armeabi,17,2.0
7mobile,DRENA,DRENA,925MB,Phone,Spreadtrum SC7731C,480x800,240,armeabi-v7a;armeabi,24,2.0
7mobile,KAMBA,KAMBA,1957MB,Phone,Mediatek MT6580,720x1280,320,armeabi-v7a;armeabi,24,2.0
7mobile,SWEGUE,SWEGUE,1836MB,Phone,Mediatek MT6737T,1080x1920,480,arm64-v8a;armeabi-v7a;armeabi,24,3.1
A.O.I. ELECTRONICS FACTORY,A.O.I.,TR10CS1_11,965MB,Tablet,Intel Z2520,1280x800,160,x86;armeabi-v7a;armeabi,17,2.0
A1,A1 Smart N9,VFD720,1875MB,Phone,Mediatek MT6739WA,720x1440,320,armeabi-v7a;armeabi,27,3.2
Aamra WE,E2,E2,964MB,Phone,Mediatek MT6580,480x854,240,armeabi-v7a;armeabi,24,2.0
Abocom,A08SM,A08,1024MB,,Rockchip RK3066,1920x1080,213,armeabi-v7a;armeabi,19,2.0
Accent,Pearl_A4,Pearl_A4,955MB,Phone,Mediatek MT6580,720x1440,320,armeabi-v7a;armeabi,24,2.0
Accent,CAMELEON C5,CAMELEON_C5,932MB,Phone,Spreadtrum SC7731E,480x960,240,armeabi-v7a;armeabi,27,3.2
Accent,FAST7 3G,FAST7_3G,954MB,Tablet,Mediatek MT8321,720x1280,160,armeabi-v7a;armeabi,24,2.0
Accent,Pearl A4 PLUS,PEARL_A4_PLUS,1929MB,Phone,Mediatek MT6737,720x1440,320,armeabi-v7a;armeabi,24,3.1
Accent,SPEED S8,SPEED_S8,894MB,Phone,Mediatek MT6580,720x1280,320,armeabi-v7a;armeabi,24,2.0
Acegame S.A.,One_Mundial,One_Mundial,983MB,Tablet,Rockchip RK3126C,600x1024,160,armeabi-v7a;armeabi,25,2.0
Acegame S.A.,PROTON_JADE_2_PRO,PROTON_JADE_2_PRO,984MB,Tablet,Rockchip RK3126C,800x1280,160,armeabi-v7a;armeabi,25,2.0
Acegame S.A.,SAPPHIRE_HDLT,SAPPHIRE_HDLT,983MB,Tablet,Rockchip RK3126C,600x1024,160,armeabi-v7a;armeabi,25,2.0
Acer,DA245HQL,da245hql,860MB,Tablet,NVidia Tegra 4,1920x1080,160,armeabi-v7a;armeabi,17,2.0
Acer,Liquid Mini,C4R,,Phone,Qualcomm MSM7x27,320x480,160,armeabi,10,2.0
Acer,E310,c4,,Phone,Qualcomm MSM7x27,320x480,160,armeabi,8,2.0
Acer,Liquid Jade S,acer_S56,1914-1916MB,Phone,Mediatek MT6752M,720x1280,320,armeabi-v7a;armeabi,19;22,3.0
Acer,Icona One 7,vespa,965-968MB,Tablet,Intel Z2560,800x1280,213,x86;armeabi-v7a;armeabi,17;19,2.0
Acer,Liquid Z330,T01,900MB,Phone,Qualcomm MSM8909,480x854,240,armeabi-v7a;armeabi,22,3.0
Acer,Iconia One 10,acer_jetfirelte,1925MB,Tablet,Mediatek MT8735,1280x800,160,arm64-v8a;armeabi-v7a;armeabi,23,3.0
Acer,Iconia One 10,corona,970MB,Tablet,Mediatek MT8163,1280x800,160,arm64-v8a;armeabi-v7a;armeabi,22,3.0
Acer,Iconia One 10,acer_Colnago,1962MB,Tablet,Mediatek MT8167B,800x1280,160,arm64-v8a;armeabi-v7a;armeabi,27,3.2
Acer,Iconia Tab A200,picasso_e,,Tablet,NVidia Tegra 2,1280x800,160,armeabi-v7a;armeabi,13;15,2.0
Acer,A110,a110,980MB,Tablet,NVidia Tegra 3 T30,600x1024,160,armeabi-v7a;armeabi,16,2.0
Acer,Chromebook 14 for work,lars_cheets,3846MB,PC,Intel 3855U,768x1366,160,x86;armeabi-v7a;armeabi,25,3.1
Acer,A1-713,acer_aprilia,958-970MB,Tablet,Mediatek MT8382,600x1024,160,armeabi-v7a;armeabi,17;19,2.0
Acer,A1-810,mango,994-996MB,Tablet,Mediatek MT8125,768x1024,160,armeabi-v7a;armeabi,17;19,2.0
Acer,B1-780,acer_barricadewifi,948MB,Phone,Mediatek MT8163,720x1280,213,arm64-v8a;armeabi-v7a;armeabi,23,3.0
Acer,J73G,J73G,957MB,Tablet,Mediatek MT8321,600x1024,160,armeabi-v7a;armeabi,23,2.0
Acer,TA272HUL,ta2,1874MB,Tablet,NVidia Tegra 4,2560x1440,213,armeabi-v7a;armeabi,17,2.0
Acer,Stream,a3,,Phone, ,480x800,240,armeabi-v7a;armeabi,8,2.0
Acer,E140,k4,,Phone,Qualcomm MSM7x27,240x320,120,armeabi,8,2.0
Acer,CloudMobile S500,a9,794MB,Phone,Qualcomm MSM8260A,720x1184,320,armeabi-v7a;armeabi,15;16,2.0
Acer,G1-715,G1-715,987MB,Tablet,Mediatek MT8137,600x1024,160,armeabi-v7a;armeabi,16,2.0
Acer,Liquid Jade,acer_S55,954MB,Phone,Mediatek MT6582,720x1280,320,armeabi-v7a;armeabi,19,2.0
Acer,Iconia Tab 10,acer_asgard,1970MB,Tablet,Mediatek MT8176A,800x1280,160,arm64-v8a;armeabi-v7a;armeabi,24,3.2
Acer,Iconia Tab 10,acer_asgardfhd,1954MB,Tablet,Mediatek MT8167B,1920x1200,240,arm64-v8a;armeabi-v7a;armeabi,24,3.2
Acer,Iconia Tab 10,acer_Titan,3959MB,Tablet,Mediatek MT8176A,1200x1920,240,arm64-v8a;armeabi-v7a;armeabi,24,3.2
Acer,E330,C7,,Phone,Qualcomm MSM7227A,480x800,240,armeabi-v7a;armeabi,15,2.0
Acer,Iconia Tab A511,picasso_m,973MB,Tablet,NVidia Tegra 3 T30,1280x800,160,armeabi-v7a;armeabi,15;16,2.0
Acer,E210,k5,,Phone,Qualcomm MSM7x27,320x240,160,armeabi,8,2.0
Acer,DA223HQL,da3,833MB,Tablet,Qualcomm APQ8064,1920x1080,160,armeabi-v7a;armeabi,16,2.0
Acer,Liquid Z630S,acer_t04,2959-2962MB,Phone,Mediatek MT6753,720x1280,320,armeabi-v7a;armeabi,22;23,3.0
Acer,Acer Chromebook 11 (C740),paine_cheets,3883MB,PC,Intel 3215U,768x1366,160,x86;armeabi-v7a;armeabi,25,3.1
Acer,A1-734,acer_barricade,1926MB,Phone,Mediatek MT8735,720x1280,213,arm64-v8a;armeabi-v7a;armeabi,23,3.0
Acer,A101,vangogh,,Tablet,NVidia Tegra 2,1024x600,160,armeabi-v7a;armeabi,13;15,2.0
Acer,Liquid C1,I1,967MB,Phone,Intel Lexington,540x960,240,x86;armeabi-v7a;armeabi,15;16,2.0
Acer,Chromebook Tab 10,scarlet_cheets,3813MB,PC,Rockchip RK3399,1536x2048,240,armeabi-v7a;armeabi,25,3.1
Acer,Liquid E3,acer_e3,969-1987MB,Phone,Mediatek MT6589,720x1280,320,armeabi-v7a;armeabi,17;19,2.0
Acer,DA222HQLA,da222hqla,972MB,Tablet,NVidia Tegra 3 T33,1920x1080,160,armeabi-v7a;armeabi,17,2.0
Acer,Liquid Z6,acer_t09,929MB,Phone,Mediatek MT6737,720x1280,320,armeabi-v7a;armeabi,23,3.0
Acer,G100W,maya,,Tablet,NVidia Tegra 2 AP20,1280x752,160,armeabi-v7a;armeabi,13,2.0
Acer,A1-830,ducati,965-968MB,Tablet,Intel Z2560,768x1024,160,x86;armeabi-v7a;armeabi,17;19,2.0
Acer,Iconia One 7,vespa2,885MB,Tablet,Intel Z3735G,800x1280,213,x86;armeabi-v7a;armeabi,19,3.0
Acer,Iconia One 7,G1-725,968MB,Tablet,Intel Z2560,600x1024,160,x86;armeabi-v7a;armeabi,19,2.0
